Test : Rate 1,"10.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"5.54000","0.91976","68.96739"
"5.55000","0.92134","69.07801"
"5.56000","0.92294","69.19052"
"5.57000","0.92459","69.34060"
"5.58000","0.92635","69.51056"
"5.59000","0.92819","69.67176"
"5.60000","0.93005","69.83739"
"5.61000","0.93188","69.99994"
"5.62000","0.93364","70.14520"
"5.63000","0.93533","70.26913"
"5.64000","0.93696","70.38614"
"5.65000","0.93854","70.49927"
"5.66000","0.94014","70.60682"
"5.67000","0.94177","70.72790"
"5.68000","0.94343","70.85112"
"5.69000","0.94510","70.98868"
"5.70000","0.94675","71.14922"
"5.71000","0.94842","71.30754"
"5.72000","0.95011","71.46351"
"5.73000","0.95179","71.59764"
"5.74000","0.95343","71.73332"
"5.75000","0.95502","71.84949"
"5.76000","0.95659","71.94810"
"5.77000","0.95818","72.05315"
"5.78000","0.95981","72.17045"
"5.79000","0.96147","72.29403"
"5.80000","0.96313","72.44102"
"5.81000","0.96480","72.60046"
"5.82000","0.96649","72.73820"
"5.83000","0.96818","72.86620"
"5.84000","0.96985","73.00146"
"5.85000","0.97150","73.14120"
"5.86000","0.97316","73.28527"
"5.87000","0.97485","73.44334"
"5.88000","0.97653","73.59280"
"5.89000","0.97820","73.72982"
"5.90000","0.97986","73.85294"
"5.91000","0.98155","73.97846"
"5.92000","0.98327","74.10149"
"5.93000","0.98496","74.21895"
"5.94000","0.98660","74.34673"
"5.95000","0.98821","74.48052"
"5.96000","0.98984","74.63625"
"5.97000","0.99150","74.78000"
"5.98000","0.99319","74.91422"
"5.99000","0.99487","75.05044"
"6.00000","0.99654","75.18210"
"6.01000","0.99821","75.30559"
"6.02000","0.99989","75.42864"
"6.03000","1.00159","75.55777"
"6.04000","1.00329","75.69034"
"6.05000","1.00501","75.81282"
"6.06000","1.00673","75.94407"
"6.07000","1.00843","76.07964"
"6.08000","1.01009","76.21328"
"6.09000","1.01172","76.35133"
"6.10000","1.01336","76.47070"
"6.11000","1.01504","76.61066"
"6.12000","1.01673","76.75193"
"6.13000","1.01839","76.88924"
"6.14000","1.02001","77.02129"
"6.15000","1.02161","77.13988"
"6.16000","1.02324","77.25979"
"6.17000","1.02490","77.39217"
"6.18000","1.02656","77.51959"
"6.19000","1.02819","77.64172"
"6.20000","1.02981","77.76723"
"6.21000","1.03143","77.88563"
"6.22000","1.03307","77.99837"
"6.23000","1.03472","78.11117"
"6.24000","1.03642","78.24529"
"6.25000","1.03816","78.39358"
"6.26000","1.03995","78.55032"
"6.27000","1.04173","78.70341"
"6.28000","1.04346","78.84432"
"6.29000","1.04515","78.96192"
"6.30000","1.04681","79.07306"
"6.31000","1.04844","79.18441"
"6.32000","1.05003","79.30785"
"6.33000","1.05157","79.41335"
"6.34000","1.05309","79.51681"
"6.35000","1.05465","79.63126"
"6.36000","1.05630","79.75313"
"6.37000","1.05801","79.88921"
"6.38000","1.05973","80.02383"
"6.39000","1.06145","80.16366"
"6.40000","1.06314","80.29456"
"6.41000","1.06481","80.42952"
"6.42000","1.06645","80.55495"
"6.43000","1.06806","80.68735"
"6.44000","1.06967","80.80988"
"6.45000","1.07132","80.92381"
"6.46000","1.07300","81.05353"
"6.47000","1.07469","81.20139"
"6.48000","1.07637","81.34357"
"6.49000","1.07807","81.47473"
"6.50000","1.07979","81.61401"
"6.51000","1.08153","81.78506"
"6.52000","1.08321","81.93376"
"6.53000","1.08483","82.04341"
"6.54000","1.08643","82.15465"
"6.55000","1.08804","82.26826"
"6.56000","1.08970","82.39323"
"6.57000","1.09137","82.50892"
"6.58000","1.09304","82.63475"
"6.59000","1.09472","82.77708"
"6.60000","1.09643","82.91670"
"6.61000","1.09818","83.05696"
"6.62000","1.09996","83.20736"
"6.63000","1.10176","83.35074"
"6.64000","1.10356","83.49704"
"6.65000","1.10531","83.64978"
"6.66000","1.10697","83.75945"
"6.67000","1.10855","83.85316"
"6.68000","1.11010","83.95720"
"6.69000","1.11169","84.08115"
"6.70000","1.11334","84.21770"
"6.71000","1.11502","84.34309"
"6.72000","1.11670","84.46719"
"6.73000","1.11836","84.58599"
"6.74000","1.12004","84.70282"
"6.75000","1.12175","84.83561"
"6.76000","1.12346","84.95666"
"6.77000","1.12512","85.06438"
"6.78000","1.12673","85.16497"
"6.79000","1.12832","85.28410"
"6.80000","1.12991","85.42389"
"6.81000","1.13151","85.55573"
"6.82000","1.13314","85.67655"
"6.83000","1.13482","85.80773"
"6.84000","1.13655","85.94539"
"6.85000","1.13830","86.08569"
"6.86000","1.14002","86.21803"
"6.87000","1.14168","86.34815"
"6.88000","1.14332","86.46981"
"6.89000","1.14497","86.58488"
"6.90000","1.14662","86.70507"
"6.91000","1.14825","86.81649"
"6.92000","1.14984","86.94767"
"6.93000","1.15145","87.08079"
"6.94000","1.15309","87.22032"
"6.95000","1.15478","87.36184"
"6.96000","1.15646","87.51637"
"6.97000","1.15811","87.63616"
"6.98000","1.15974","87.73483"
"6.99000","1.16138","87.85538"
"7.00000","1.16304","87.98355"
"7.01000","1.16471","88.12961"
"7.02000","1.16642","88.27346"
"7.03000","1.16817","88.42561"
"7.04000","1.16995","88.56915"
"7.05000","1.17172","88.71455"
"7.06000","1.17346","88.86743"
"7.07000","1.17515","89.01328"
"7.08000","1.17683","89.12758"
"7.09000","1.17851","89.22394"
"7.10000","1.18015","89.32462"
"7.11000","1.18175","89.42778"
"7.12000","1.18334","89.53498"
"7.13000","1.18498","89.65893"
"7.14000","1.18667","89.79202"
"7.15000","1.18840","89.93110"
"7.16000","1.19009","90.07484"
"7.17000","1.19174","90.19849"
"7.18000","1.19335","90.31527"
"7.19000","1.19496","90.42271"
"7.20000","1.19656","90.53686"
"7.21000","1.19816","90.66325"
"7.22000","1.19978","90.78674"
"7.23000","1.20144","90.89904"
"7.24000","1.20313","91.01015"
"7.25000","1.20482","91.14596"
"7.26000","1.20650","91.28690"
"7.27000","1.20821","91.43218"
"7.28000","1.20995","91.59835"
"7.29000","1.21171","91.75916"
"7.30000","1.21344","91.87921"
"7.31000","1.21510","91.99188"
"7.32000","1.21672","92.10651"
"7.33000","1.21833","92.22001"
"7.34000","1.21995","92.33212"
"7.35000","1.22155","92.44072"
"7.36000","1.22313","92.53983"
"7.37000","1.22471","92.65359"
"7.38000","1.22630","92.76527"
"7.39000","1.22793","92.87736"
"7.40000","1.22959","92.99392"
"7.41000","1.23128","93.14378"
"7.42000","1.23300","93.31273"
"7.43000","1.23473","93.47022"
"7.44000","1.23645","93.62980"
"7.45000","1.23812","93.76413"
"7.46000","1.23975","93.86682"
"7.47000","1.24139","93.95623"
"7.48000","1.24308","94.06770"
"7.49000","1.24479","94.20248"
"7.50000","1.24650","94.35327"
"7.51000","1.24820","94.50187"
"7.52000","1.24991","94.63306"
"7.53000","1.25162","94.77574"
"7.54000","1.25332","94.90009"
"7.55000","1.25496","95.01647"
"7.56000","1.25654","95.13433"
"7.57000","1.25810","95.23669"
"7.58000","1.25968","95.35198"
"7.59000","1.26129","95.47941"
"7.60000","1.26294","95.58997"
"7.61000","1.26464","95.71566"
"7.62000","1.26643","95.85326"
"7.63000","1.26827","95.99446"
"7.64000","1.27011","96.14781"
"7.65000","1.27192","96.31445"
"7.66000","1.27368","96.48256"
"7.67000","1.27539","96.63474"
"7.68000","1.27703","96.76110"
"7.69000","1.27859","96.87994"
"7.70000","1.28011","97.00185"
"7.71000","1.28165","97.13164"
"7.72000","1.28326","97.27568"
"7.73000","1.28495","97.45008"
"7.74000","1.28667","97.63286"
"7.75000","1.28839","97.83910"
"7.76000","1.29008","98.04594"
"7.77000","1.29176","98.23566"
"7.78000","1.29343","98.42176"
"7.79000","1.29508","98.60962"
"7.80000","1.29671","98.80972"
"7.81000","1.29833","98.99955"
"7.82000","1.29996","99.19480"
"7.83000","1.30160","99.38461"
"7.84000","1.30324","99.57638"
"7.85000","1.30490","99.77483"
"7.86000","1.30660","99.99331"
"7.87000","1.30833","100.21381"
"7.88000","1.31005","100.44513"
"7.89000","1.31170","100.66418"
"7.90000","1.31330","100.85796"
"7.91000","1.31489","101.05373"
"7.92000","1.31653","101.24636"
"7.93000","1.31821","101.46071"
"7.94000","1.31989","101.68059"
"7.95000","1.32155","101.88318"
"7.96000","1.32322","102.08227"
"7.97000","1.32488","102.28333"
"7.98000","1.32655","102.48594"
"7.99000","1.32821","102.68144"
"8.00000","1.32988","102.88692"
"8.01000","1.33156","103.10835"
"8.02000","1.33325","103.34283"
"8.03000","1.33491","103.55941"
"8.04000","1.33656","103.76922"
"8.05000","1.33821","103.96526"
"8.06000","1.33992","104.18554"
"8.07000","1.34166","104.41798"
"8.08000","1.34340","104.64386"
"8.09000","1.34508","104.86588"
"8.10000","1.34673","105.09208"
