Test : Rate 1,"10.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"6.62000","1.10004","91.53656"
"6.63000","1.10161","91.66708"
"6.64000","1.10319","91.80197"
"6.65000","1.10479","91.93192"
"6.66000","1.10642","92.07621"
"6.67000","1.10811","92.21344"
"6.68000","1.10986","92.35813"
"6.69000","1.11163","92.49868"
"6.70000","1.11336","92.63645"
"6.71000","1.11504","92.76939"
"6.72000","1.11669","92.90779"
"6.73000","1.11835","93.05296"
"6.74000","1.12000","93.18344"
"6.75000","1.12162","93.30264"
"6.76000","1.12322","93.41756"
"6.77000","1.12483","93.55107"
"6.78000","1.12649","93.70119"
"6.79000","1.12817","93.86214"
"6.80000","1.12985","93.98692"
"6.81000","1.13149","94.10503"
"6.82000","1.13311","94.23417"
"6.83000","1.13473","94.34898"
"6.84000","1.13638","94.47733"
"6.85000","1.13805","94.63164"
"6.86000","1.13976","94.77914"
"6.87000","1.14151","94.92617"
"6.88000","1.14330","95.08970"
"6.89000","1.14509","95.25338"
"6.90000","1.14684","95.39690"
"6.91000","1.14855","95.52187"
"6.92000","1.15023","95.64544"
"6.93000","1.15190","95.75716"
"6.94000","1.15353","95.86524"
"6.95000","1.15512","95.96947"
"6.96000","1.15670","96.07757"
"6.97000","1.15833","96.20773"
"6.98000","1.16002","96.35773"
"6.99000","1.16173","96.51772"
"7.00000","1.16341","96.67097"
"7.01000","1.16504","96.79882"
"7.02000","1.16664","96.91759"
"7.03000","1.16824","97.03690"
"7.04000","1.16983","97.15151"
"7.05000","1.17143","97.26572"
"7.06000","1.17306","97.38133"
"7.07000","1.17472","97.50311"
"7.08000","1.17642","97.64275"
"7.09000","1.17812","97.79179"
"7.10000","1.17981","97.94386"
"7.11000","1.18152","98.09364"
"7.12000","1.18327","98.22070"
"7.13000","1.18505","98.35629"
"7.14000","1.18678","98.49266"
"7.15000","1.18846","98.62508"
"7.16000","1.19009","98.74571"
"7.17000","1.19171","98.86005"
"7.18000","1.19333","98.98197"
"7.19000","1.19493","99.10191"
"7.20000","1.19650","99.21545"
"7.21000","1.19806","99.33794"
"7.22000","1.19965","99.46861"
"7.23000","1.20127","99.61672"
"7.24000","1.20293","99.76344"
"7.25000","1.20463","99.90357"
"7.26000","1.20635","100.03319"
"7.27000","1.20810","100.17799"
"7.28000","1.20982","100.33341"
"7.29000","1.21149","100.47081"
"7.30000","1.21312","100.57641"
"7.31000","1.21476","100.68898"
"7.32000","1.21644","100.80659"
"7.33000","1.21814","100.94409"
"7.34000","1.21984","101.08101"
"7.35000","1.22153","101.22326"
"7.36000","1.22322","101.36591"
"7.37000","1.22492","101.51736"
"7.38000","1.22660","101.63837"
"7.39000","1.22822","101.75307"
"7.40000","1.22980","101.88352"
"7.41000","1.23137","102.01604"
"7.42000","1.23296","102.14520"
"7.43000","1.23458","102.27452"
"7.44000","1.23625","102.41379"
"7.45000","1.23797","102.56165"
"7.46000","1.23976","102.71365"
"7.47000","1.24161","102.86723"
"7.48000","1.24345","103.02688"
"7.49000","1.24526","103.18287"
"7.50000","1.24702","103.30617"
"7.51000","1.24874","103.41718"
"7.52000","1.25039","103.52938"
"7.53000","1.25196","103.64333"
"7.54000","1.25349","103.75632"
"7.55000","1.25503","103.87446"
"7.56000","1.25664","104.01738"
"7.57000","1.25832","104.18697"
"7.58000","1.26003","104.37270"
"7.59000","1.26172","104.56969"
"7.60000","1.26340","104.78303"
"7.61000","1.26508","104.99442"
"7.62000","1.26676","105.21543"
"7.63000","1.26841","105.43100"
"7.64000","1.27004","105.63177"
"7.65000","1.27167","105.83668"
"7.66000","1.27331","106.04018"
"7.67000","1.27495","106.24609"
"7.68000","1.27659","106.47509"
"7.69000","1.27825","106.70634"
"7.70000","1.27996","106.94948"
"7.71000","1.28170","107.19026"
"7.72000","1.28341","107.41019"
"7.73000","1.28505","107.63030"
"7.74000","1.28663","107.83618"
"7.75000","1.28821","108.04127"
"7.76000","1.28984","108.24799"
"7.77000","1.29151","108.46806"
"7.78000","1.29319","108.70204"
"7.79000","1.29487","108.93521"
"7.80000","1.29653","109.16959"
"7.81000","1.29821","109.39831"
"7.82000","1.29988","109.62083"
"7.83000","1.30155","109.85285"
"7.84000","1.30321","110.09521"
"7.85000","1.30489","110.34107"
"7.86000","1.30656","110.54866"
"7.87000","1.30821","110.74750"
"7.88000","1.30984","110.95090"
"7.89000","1.31150","111.18184"
"7.90000","1.31321","111.41785"
"7.91000","1.31497","111.67530"
"7.92000","1.31671","111.92924"
"7.93000","1.31839","112.16517"
"7.94000","1.32005","112.38529"
"7.95000","1.32169","112.59721"
"7.96000","1.32335","112.79899"
"7.97000","1.32500","113.00835"
"7.98000","1.32663","113.21383"
"7.99000","1.32827","113.42995"
"8.00000","1.32994","113.65282"
"8.01000","1.33163","113.88795"
"8.02000","1.33334","114.11975"
"8.03000","1.33505","114.35075"
"8.04000","1.33677","114.58389"
"8.05000","1.33848","114.81710"
"8.06000","1.34015","115.04265"
"8.07000","1.34177","115.27830"
"8.08000","1.34336","115.49757"
"8.09000","1.34496","115.69669"
"8.10000","1.34658","115.89932"
